result_path,experiment_name,experiment_timestamp,model,dataset_type,dataset_name,method_type,method_name,seed,thinking,constrained,structured,soft_precision,soft_recall,soft_f1,hard_precision,hard_recall,hard_f1,total_entries,avg_completion_tokens,total_completion_tokens,soft_overlap,soft_predicted,soft_gold,hard_overlap,hard_predicted,hard_gold,error_empty_response,error_format_error,error_span_not_found,error_partial_span_not_found,error_invalid_label,error_partial_invalid_label,error_empty_prediction,error_success,error_format_max_tokens_exceeded,error_format_unescaped_quotes,error_empty_label,error_partial_empty_label,error_quotations_in_spans,error_partial_quotations_in_spans
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_gsdsimp_46_20260519_040346_results.json,llama_3_70b_constrained_fixed,2026-05-19 04:03:46,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_gsdsimp,json_occurrence,json_occurrence_structured_constrained,46,False,True,True,0.6594,0.5543,0.6023,0.6079,0.511,0.5553,314,433.2388535031847,136037,1986,3012,3583,1831,3012,3583,0,0,0,0,0,0,7,279,26,0,0,2,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_gsdsimp_45_20260519_031942_results.json,llama_3_70b_constrained_fixed,2026-05-19 03:19:42,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_gsdsimp,json_occurrence,json_occurrence_structured_constrained,45,False,True,True,0.6106,0.5448,0.5758,0.5546,0.4948,0.523,314,406.6910828025478,127701,1952,3197,3583,1773,3197,3583,0,0,0,0,0,0,7,280,23,0,0,3,1,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_gsdsimp_44_20260519_024104_results.json,llama_3_70b_constrained_fixed,2026-05-19 02:41:04,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_gsdsimp,json_occurrence,json_occurrence_structured_constrained,44,False,True,True,0.6063,0.5546,0.5793,0.559,0.5113,0.5341,314,372.828025477707,117068,1987,3277,3583,1832,3277,3583,0,0,0,0,0,0,3,291,20,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_gsdsimp_43_20260519_015317_results.json,llama_3_70b_constrained_fixed,2026-05-19 01:53:17,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_gsdsimp,json_occurrence,json_occurrence_structured_constrained,43,False,True,True,0.7228,0.5423,0.6197,0.6682,0.5013,0.5728,314,458.45222929936307,143954,1943,2688,3583,1796,2688,3583,0,0,0,0,0,0,7,277,29,0,0,1,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_gsdsimp_42_20260519_011016_results.json,llama_3_70b_constrained_fixed,2026-05-19 01:10:16,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_gsdsimp,json_occurrence,json_occurrence_structured_constrained,42,False,True,True,0.5544,0.5317,0.5428,0.5044,0.4837,0.4938,314,415.9203821656051,130599,1905,3436,3583,1733,3436,3583,0,1,0,0,0,0,6,283,24,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_gsd_46_20260519_000616_results.json,llama_3_70b_constrained_fixed,2026-05-19 00:06:16,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_gsd,json_occurrence,json_occurrence_structured_constrained,46,False,True,True,0.5027,0.4968,0.4997,0.4596,0.4543,0.4569,315,604.0539682539683,190277,1787,3555,3597,1634,3555,3597,0,0,0,0,0,0,8,270,37,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_gsd_45_20260518_230807_results.json,llama_3_70b_constrained_fixed,2026-05-18 23:08:07,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_gsd,json_occurrence,json_occurrence_structured_constrained,45,False,True,True,0.5398,0.4921,0.5148,0.4873,0.4443,0.4648,315,538.9936507936508,169783,1770,3279,3597,1598,3279,3597,0,0,0,0,0,0,8,272,33,0,0,0,2,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_gsd_44_20260518_220134_results.json,llama_3_70b_constrained_fixed,2026-05-18 22:01:34,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_gsd,json_occurrence,json_occurrence_structured_constrained,44,False,True,True,0.5752,0.4901,0.5293,0.5269,0.449,0.4848,315,632.7936507936508,199330,1763,3065,3597,1615,3065,3597,0,0,0,0,0,0,3,271,40,0,0,1,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_gsd_43_20260518_210401_results.json,llama_3_70b_constrained_fixed,2026-05-18 21:04:01,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_gsd,json_occurrence,json_occurrence_structured_constrained,43,False,True,True,0.5167,0.5113,0.514,0.4704,0.4654,0.4679,315,523.504761904762,164904,1839,3559,3597,1674,3559,3597,0,0,0,0,0,0,5,279,29,0,0,2,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_zh_gsd_42_20260518_200350_results.json,llama_3_70b_constrained_fixed,2026-05-18 20:03:50,meta-llama/Llama-3.3-70B-Instruct,ner,uner_zh_gsd,json_occurrence,json_occurrence_structured_constrained,42,False,True,True,0.5131,0.496,0.5044,0.4682,0.4526,0.4603,315,565.2444444444444,178052,1784,3477,3597,1628,3477,3597,0,1,0,0,0,0,4,275,34,0,0,1,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_tl_ugnayan_46_20260518_200322_results.json,llama_3_70b_constrained_fixed,2026-05-18 20:03:22,meta-llama/Llama-3.3-70B-Instruct,ner,uner_tl_ugnayan,json_occurrence,json_occurrence_structured_constrained,46,False,True,True,0.912,0.9228,0.9174,0.912,0.9228,0.9174,22,44.0,968,311,341,337,311,341,337,0,0,0,0,0,0,2,20,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_tl_ugnayan_45_20260518_200255_results.json,llama_3_70b_constrained_fixed,2026-05-18 20:02:55,meta-llama/Llama-3.3-70B-Instruct,ner,uner_tl_ugnayan,json_occurrence,json_occurrence_structured_constrained,45,False,True,True,0.912,0.9228,0.9174,0.912,0.9228,0.9174,22,42.31818181818182,931,311,341,337,311,341,337,0,0,0,0,0,0,2,20,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_tl_ugnayan_44_20260518_200229_results.json,llama_3_70b_constrained_fixed,2026-05-18 20:02:29,meta-llama/Llama-3.3-70B-Instruct,ner,uner_tl_ugnayan,json_occurrence,json_occurrence_structured_constrained,44,False,True,True,0.912,0.9228,0.9174,0.912,0.9228,0.9174,22,44.27272727272727,974,311,341,337,311,341,337,0,0,0,0,0,0,2,20,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_tl_ugnayan_43_20260518_200200_results.json,llama_3_70b_constrained_fixed,2026-05-18 20:02:00,meta-llama/Llama-3.3-70B-Instruct,ner,uner_tl_ugnayan,json_occurrence,json_occurrence_structured_constrained,43,False,True,True,0.912,0.9228,0.9174,0.912,0.9228,0.9174,22,43.59090909090909,959,311,341,337,311,341,337,0,0,0,0,0,0,2,20,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_tl_ugnayan_42_20260518_200131_results.json,llama_3_70b_constrained_fixed,2026-05-18 20:01:31,meta-llama/Llama-3.3-70B-Instruct,ner,uner_tl_ugnayan,json_occurrence,json_occurrence_structured_constrained,42,False,True,True,0.912,0.9228,0.9174,0.912,0.9228,0.9174,22,43.45454545454545,956,311,341,337,311,341,337,0,0,0,0,0,0,2,20,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_tl_trg_46_20260518_200114_results.json,llama_3_70b_constrained_fixed,2026-05-18 20:01:14,meta-llama/Llama-3.3-70B-Instruct,ner,uner_tl_trg,json_occurrence,json_occurrence_structured_constrained,46,False,True,True,0.8741,1.0,0.9328,0.8074,0.9237,0.8617,18,37.388888888888886,673,118,135,118,109,135,118,0,0,0,0,0,0,0,18,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_tl_trg_45_20260518_200057_results.json,llama_3_70b_constrained_fixed,2026-05-18 20:00:57,meta-llama/Llama-3.3-70B-Instruct,ner,uner_tl_trg,json_occurrence,json_occurrence_structured_constrained,45,False,True,True,0.8939,1.0,0.944,0.8258,0.9237,0.872,18,36.166666666666664,651,118,132,118,109,132,118,0,0,0,0,0,0,0,18,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_tl_trg_44_20260518_200039_results.json,llama_3_70b_constrained_fixed,2026-05-18 20:00:39,meta-llama/Llama-3.3-70B-Instruct,ner,uner_tl_trg,json_occurrence,json_occurrence_structured_constrained,44,False,True,True,0.8741,1.0,0.9328,0.8074,0.9237,0.8617,18,39.5,711,118,135,118,109,135,118,0,0,0,0,0,0,0,18,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_tl_trg_43_20260518_200020_results.json,llama_3_70b_constrained_fixed,2026-05-18 20:00:20,meta-llama/Llama-3.3-70B-Instruct,ner,uner_tl_trg,json_occurrence,json_occurrence_structured_constrained,43,False,True,True,0.8741,1.0,0.9328,0.8074,0.9237,0.8617,18,40.5,729,118,135,118,109,135,118,0,0,0,0,0,0,0,18,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_tl_trg_42_20260518_200002_results.json,llama_3_70b_constrained_fixed,2026-05-18 20:00:02,meta-llama/Llama-3.3-70B-Instruct,ner,uner_tl_trg,json_occurrence,json_occurrence_structured_constrained,42,False,True,True,0.8939,1.0,0.944,0.8258,0.9237,0.872,18,37.55555555555556,676,118,132,118,109,132,118,0,0,0,0,0,0,0,18,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sv_talbanken_46_20260518_195721_results.json,llama_3_70b_constrained_fixed,2026-05-18 19:57:21,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sv_talbanken,json_occurrence,json_occurrence_structured_constrained,46,False,True,True,0.8649,0.9675,0.9133,0.8566,0.9582,0.9046,121,49.611570247933884,6003,1665,1925,1721,1649,1925,1721,0,0,0,0,0,0,3,118,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sv_talbanken_45_20260518_195443_results.json,llama_3_70b_constrained_fixed,2026-05-18 19:54:43,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sv_talbanken,json_occurrence,json_occurrence_structured_constrained,45,False,True,True,0.8669,0.9611,0.9115,0.8585,0.9518,0.9027,121,49.12396694214876,5944,1654,1908,1721,1638,1908,1721,0,0,0,0,0,0,3,117,0,0,0,0,1,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sv_talbanken_44_20260518_195157_results.json,llama_3_70b_constrained_fixed,2026-05-18 19:51:57,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sv_talbanken,json_occurrence,json_occurrence_structured_constrained,44,False,True,True,0.8727,0.968,0.9179,0.8643,0.9587,0.9091,121,49.68595041322314,6012,1666,1909,1721,1650,1909,1721,0,0,0,0,0,0,3,118,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sv_talbanken_43_20260518_194916_results.json,llama_3_70b_constrained_fixed,2026-05-18 19:49:16,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sv_talbanken,json_occurrence,json_occurrence_structured_constrained,43,False,True,True,0.8622,0.9669,0.9115,0.8539,0.9576,0.9028,121,49.900826446280995,6038,1664,1930,1721,1648,1930,1721,0,0,0,0,0,0,5,116,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sv_talbanken_42_20260518_194634_results.json,llama_3_70b_constrained_fixed,2026-05-18 19:46:34,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sv_talbanken,json_occurrence,json_occurrence_structured_constrained,42,False,True,True,0.8651,0.9611,0.9105,0.8567,0.9518,0.9017,121,49.429752066115704,5981,1654,1912,1721,1638,1912,1721,0,0,0,0,0,0,3,117,0,0,0,0,1,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sv_pud_46_20260518_193233_results.json,llama_3_70b_constrained_fixed,2026-05-18 19:32:33,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sv_pud,json_occurrence,json_occurrence_structured_constrained,46,False,True,True,0.8554,0.9544,0.9022,0.8215,0.9165,0.8664,577,56.592720970537265,32654,9492,11096,9945,9115,11096,9945,0,0,0,0,0,0,3,574,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sv_pud_45_20260518_191838_results.json,llama_3_70b_constrained_fixed,2026-05-18 19:18:38,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sv_pud,json_occurrence,json_occurrence_structured_constrained,45,False,True,True,0.8502,0.9557,0.8998,0.8183,0.9199,0.8661,577,56.1473136915078,32397,9504,11179,9945,9148,11179,9945,0,0,0,0,0,0,3,574,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sv_pud_44_20260518_190444_results.json,llama_3_70b_constrained_fixed,2026-05-18 19:04:44,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sv_pud,json_occurrence,json_occurrence_structured_constrained,44,False,True,True,0.8548,0.9569,0.903,0.8217,0.9198,0.868,577,56.92894280762565,32848,9516,11132,9945,9147,11132,9945,0,0,0,0,0,0,2,575,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sv_pud_43_20260518_185045_results.json,llama_3_70b_constrained_fixed,2026-05-18 18:50:45,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sv_pud,json_occurrence,json_occurrence_structured_constrained,43,False,True,True,0.8497,0.9536,0.8987,0.8161,0.9158,0.8631,577,56.81975736568457,32785,9484,11161,9945,9108,11161,9945,0,0,0,0,0,0,2,575,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sv_pud_42_20260518_183647_results.json,llama_3_70b_constrained_fixed,2026-05-18 18:36:47,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sv_pud,json_occurrence,json_occurrence_structured_constrained,42,False,True,True,0.8461,0.9529,0.8963,0.8124,0.915,0.8607,577,56.596187175043326,32656,9477,11201,9945,9100,11201,9945,0,0,0,0,0,0,4,573,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sr_set_46_20260518_182505_results.json,llama_3_70b_constrained_fixed,2026-05-18 18:25:05,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sr_set,json_occurrence,json_occurrence_structured_constrained,46,False,True,True,0.8113,0.9217,0.863,0.7986,0.9073,0.8495,392,67.65051020408163,26519,7480,9220,8115,7363,9220,8115,0,0,0,0,0,0,4,388,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sr_set_45_20260518_181334_results.json,llama_3_70b_constrained_fixed,2026-05-18 18:13:34,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sr_set,json_occurrence,json_occurrence_structured_constrained,45,False,True,True,0.8174,0.9246,0.8677,0.8041,0.9096,0.8536,392,67.1811224489796,26335,7503,9179,8115,7381,9179,8115,0,0,0,0,0,0,4,388,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sr_set_44_20260518_180153_results.json,llama_3_70b_constrained_fixed,2026-05-18 18:01:53,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sr_set,json_occurrence,json_occurrence_structured_constrained,44,False,True,True,0.8173,0.9298,0.8699,0.8047,0.9155,0.8565,392,67.80867346938776,26581,7545,9232,8115,7429,9232,8115,0,0,0,0,0,0,4,388,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sr_set_43_20260518_175019_results.json,llama_3_70b_constrained_fixed,2026-05-18 17:50:19,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sr_set,json_occurrence,json_occurrence_structured_constrained,43,False,True,True,0.8107,0.9213,0.8624,0.8012,0.9105,0.8524,392,67.96173469387755,26641,7476,9222,8115,7389,9222,8115,0,0,0,0,0,0,4,388,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sr_set_42_20260518_173854_results.json,llama_3_70b_constrained_fixed,2026-05-18 17:38:54,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sr_set,json_occurrence,json_occurrence_structured_constrained,42,False,True,True,0.8175,0.9204,0.8659,0.8051,0.9063,0.8527,392,67.50510204081633,26462,7469,9136,8115,7355,9136,8115,0,0,0,0,0,0,4,388,0,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sk_snk_46_20260518_172545_results.json,llama_3_70b_constrained_fixed,2026-05-18 17:25:45,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sk_snk,json_occurrence,json_occurrence_structured_constrained,46,False,True,True,0.8074,0.921,0.8605,0.749,0.8544,0.7982,557,56.28545780969479,31351,8481,10504,9208,7867,10504,9208,0,0,0,0,0,0,13,543,0,0,0,0,1,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sk_snk_45_20260518_170951_results.json,llama_3_70b_constrained_fixed,2026-05-18 17:09:51,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sk_snk,json_occurrence,json_occurrence_structured_constrained,45,False,True,True,0.8182,0.9185,0.8655,0.7562,0.8489,0.7999,557,62.05206463195691,34563,8458,10337,9208,7817,10337,9208,0,0,0,0,0,0,11,545,1,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sk_snk_44_20260518_165121_results.json,llama_3_70b_constrained_fixed,2026-05-18 16:51:21,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sk_snk,json_occurrence,json_occurrence_structured_constrained,44,False,True,True,0.813,0.9242,0.8651,0.7506,0.8533,0.7987,557,70.54398563734291,39293,8510,10467,9208,7857,10467,9208,0,0,0,0,0,0,6,549,2,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sk_snk_43_20260518_163731_results.json,llama_3_70b_constrained_fixed,2026-05-18 16:37:31,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sk_snk,json_occurrence,json_occurrence_structured_constrained,43,False,True,True,0.7796,0.9228,0.8452,0.7201,0.8523,0.7806,557,57.88330341113106,32241,8497,10899,9208,7848,10899,9208,0,0,0,0,0,0,9,547,0,0,0,0,1,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_sk_snk_42_20260518_161712_results.json,llama_3_70b_constrained_fixed,2026-05-18 16:17:12,meta-llama/Llama-3.3-70B-Instruct,ner,uner_sk_snk,json_occurrence,json_occurrence_structured_constrained,42,False,True,True,0.8105,0.9219,0.8626,0.75,0.8532,0.7983,557,62.96588868940754,35072,8489,10474,9208,7856,10474,9208,0,0,0,0,0,0,10,546,1,0,0,0,0,0
results/mistral_small_24b_constrained_fixed_mistralai__Mistral-Small-24B-Instruct-2501_json_occurrence_structured_constrained_multigec_en_46_20260518_140516_results.json,mistral_small_24b_constrained_fixed,2026-05-18 14:05:16,mistralai/Mistral-Small-24B-Instruct-2501,multigec,multigec_en,json_occurrence,json_occurrence_structured_constrained,46,False,True,True,0.2099,0.3283,0.256,0.1918,0.3,0.234,504,1857.0972222222222,935977,9800,46696,29854,8955,46696,29854,0,0,0,0,0,0,0,340,164,0,0,0,0,0
results/llama_3_70b_constrained_fixed_meta-llama__Llama-3_3-70B-Instruct_json_occurrence_structured_constrained_uner_ru_pud_46_20260516_183356_results.json,llama_3_70b_constrained_fixed,2026-05-16 18:33:56,meta-llama/Llama-3.3-70B-Instruct,ner,uner_ru_pud,json_occurrence,json_occurrence_structured_constrained,46,False,True,True,0.8233,0.9192,0.8686,0.7175,0.801,0.757,570,59.91754385964912,34153,9678,11755,10529,8434,11755,10529,0,0,0,0,0,0,4,556,0,0,0,1,9,0
